"","gene","PMID36300619_CellMarkv2","GeneID"
"5731","CEA family","H.Undefined.ColonCancer.CancerStemCell.27866420",NA
"5732","CEA family","H.Undefined.RenalClearCellCarcinoma.EndothelialCell.25170899",NA
"6280","CLECL1","H.Liver.HepatocellularCancer.ExhaustedCd8.TCell.28622514",NA
"6281","CLECL1","H.Kidney.Normal.BCell.30093597",NA
"6859","CRIPAK","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"6868","CRNDE","H.FetalGonad.Normal.MeioticProphaseFetalGermCell.28457750",NA
"6869","CRNDE","H.UmbilicalCordBlood.Normal.Granulocyte.MonocyteProgenitor.29167569",NA
"7347","CXL11","H.Undefined.Normal.Macrophage.Company",NA
"7465","Cytokeratin family","H.Undefined.Normal.EpithelialCell.Company",NA
"7466","Cytokeratin family","H.Undefined.Normal.EpithelialCell.Company",NA
"8074","DNJB1","H.Brain.Normal.Astrocyte.27806376",NA
"8133","Doublecortin family","H.Undefined.Normal.ImmatureNeuron.Company",NA
"9158","ESRG","H.Embryo.Normal.EpiblastCell.27062923",NA
"9368","FAM106A","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"9369","FAM106A","H.UmbilicalCordBlood.Normal.MultilymphoidProgenitorCell.29167569",NA
"9438","FAM153C","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"9520","FAM231D","H.FetalKidney.Normal.NaturalKillerTNktCell.30093597",NA
"9788","FCGR1B","H.EmbryonicPrefrontalCortex.Normal.MicroglialCell.29539641",NA
"11494","Granzyme family","H.PeripheralBlood.Normal.NaturalKillerTNktCell.Company",NA
"11721","H19","H.Liver.HepatocellularCarcinoma.LiverStemCell.20080086",NA
"11982","HHLA3","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"12089","HLA Class I","H.Undefined.Normal.MesenchymalStemCell.Company",NA
"12090","HLA class II","H.Lung.Normal.Macrophage.10092696",NA
"12096","HLA-ABC family","H.AdiposeTissue.Normal.DedifferentiationAdipocyte.21548390",NA
"12097","HLA-ABC family","H.AdiposeTissue.Normal.Adipose.DerivedStemCell.21548390",NA
"12098","HLA-ABC family","H.BoneMarrow.Normal.MesenchymalStromalCell.29338788",NA
"12099","HLA-ABC family","H.AmnioticFluid.Normal.StemCell.25880317",NA
"12100","HLA-ABC family","H.Endometrium.Normal.StemCell.28761446",NA
"12101","HLA-ABC family","H.Endometrium.Normal.MesenchymalStemCell.28761446",NA
"12102","HLA-ABC family","H.EmbryonicStemCell.Normal.MesenchymalStemCell.22567895",NA
"12103","HLA-ABC family","H.Foreskin.Normal.MesenchymalStemCell.22567895",NA
"12104","HLA-ABC family","H.BoneMarrow.Normal.MesenchymalStemCell.22567895",NA
"12184","HLA-DR family","H.Undefined.RenalClearCellCarcinoma.ImmuneCell.25170899",NA
"12185","HLA-DR family","H.BoneMarrow.Normal.MesenchymalStemCell.19549397",NA
"12186","HLA-DR family","H.PeripheralBlood.Normal.Cd16.DendriticCell.25799053",NA
"12187","HLA-DR family","H.UmbilicalCord.Normal.MesenchymalStemCell.21925144",NA
"12188","HLA-DR family","H.PeripheralBlood.Normal.MyeloidCell.25799053",NA
"12189","HLA-DR family","H.Premolar.Normal.DentalPulpStemCell.26334535",NA
"12190","HLA-DR family","H.Placenta.Normal.MesenchymalStemCell.24662208",NA
"12191","HLA-DR family","H.Intestine.Normal.MyeloidDendriticCell.Company",NA
"12192","HLA-DR family","H.Undefined.Normal.Leukocyte.25319788",NA
