"GeneID","gene"
358,"CO"
359,"AQP-CD"
359,"NDI2"
359,"WCH-CD"
360,"AQP-3"
360,"GIL"
361,"MIWC"
361,"MLC4"
361,"WCH4"
361,"hAQP4"
362,"AQP-5"
362,"PPKB"
363,"AQP2L"
363,"KID"
364,"AQP7L"
364,"AQPap"
364,"GLYCQTL"
366,"AQP-9"
366,"HsT17287"
366,"SSC1"
366,"T17287"
367,"AIS"
367,"AR8"
367,"DHTR"
367,"HUMARA"
367,"HYSP1"
367,"KD"
367,"NR3C4"
367,"SBMA"
367,"SMAX1"
367,"TFM"
368,"ABC34"
368,"ARA"
368,"EST349056"
368,"GACI2"
368,"MLP1"
368,"MOAT-E"
368,"MOATE"
368,"MRP6"
368,"PXE"
368,"PXE1"
368,"URG7"
369,"A-RAF"
369,"ARAF1"
369,"PKS2"
369,"RAFA1"
372,"COPD"
372,"SRMMD"
372,"SSMG"
373,"ARD1"
373,"ARFD1"
373,"RNF46"
374,"AR"
374,"AREGB"
374,"CRDGF"
374,"SDGF"
375,"PVNH8"
377,"ARF3"
378,"ARF2"
379,"ARF4L"
381,"ARF5"
382,"ARF6"
383,"ARG1"
384,"ARG2"
387,"ARH12"
387,"ARHA"
387,"EDFAOB"
387,"RHO12"
387,"RHOH12"
388,"ARH6"
388,"ARHB"
388,"MST081"
388,"MSTP081"
388,"RHOH6"
389,"ARH9"
389,"ARHC"
389,"H9"
389,"RHOH9"
390,"ARHE"
390,"Rho8"
390,"RhoE"
390,"memB"
391,"ARHG"
392,"CDC42GAP"
392,"RHOGAP"
392,"RHOGAP1"
392,"p50rhoGAP"
393,"C1"
393,"RGC1"
393,"RhoGAP4"
393,"SrGAP4"
393,"p115"
394,"GFI2"
394,"RhoGAP5"
394,"p190-B"
394,"p190BRhoGAP"
395,"RHOGAP6"
395,"RHOGAPX-1"
396,"GDIA1"
396,"HEL-S-47e"
396,"NPHS8"
396,"RHOGDI"
396,"RHOGDI-1"
397,"D4"
397,"GDIA2"
397,"GDID4"
397,"LYGDI"
397,"Ly-GDI"
397,"RAP1GN1"
397,"RhoGDI2"
398,"RHOGDI-3"
399,"ARHH"
399,"TTF"
400,"ARFL1"
401,"ARIX"
401,"CFEOM2"
401,"FEOM2"
401,"NCAM2"
401,"PMX2A"
402,"ARFL2"
402,"MRCS1"
403,"ARFL3"
403,"JBTS35"
403,"RP83"
405,"ARNT1"
405,"HIF-1-beta"
405,"HIF-1beta"
405,"HIF1-beta"
405,"HIF1B"
405,"HIF1BETA"
405,"TANGO"
405,"bHLHe2"
406,"ARNTL"
406,"ARNTL1"
406,"BMAL1c"
406,"JAP3"
406,"MOP3"
406,"PASD3"
406,"TIC"
406,"bHLHe5"
407,"ARRX"
407,"MYP26"
407,"cArr"
408,"ARB1"
408,"ARR1"
409,"ARB2"
409,"ARR2"
409,"BARR2"
410,"ASA"
410,"MLD"
411,"ASB"
411,"G4S"
411,"MPS6"
412,"ARSC"
412,"ARSC1"
412,"ASC"
412,"ES"
412,"SSDD"
412,"XLI"
414,"ASD"
415,"ARSE"
415,"ASE"
415,"CDPX"
415,"CDPX1"
415,"CDPXR"
416,"ASF"
417,"ART2"
417,"ARTC1"
417,"CD296"
417,"RT6"
419,"ARTC3"
420,"ARTC4"
420,"CD297"
420,"DO"
420,"DO/ART4"
420,"DOK1"
421,"ARVCF"
427,"AC"
427,"ACDase"
427,"ASAH"
427,"PHP"
427,"PHP32"
427,"SMAPME"
429,"ASH1"
429,"HASH1"
429,"MASH1"
429,"bHLHa46"
430,"ASH2"
430,"HASH2"
430,"MASH2"
430,"bHLHa45"
432,"ASGPR"
432,"ASGPR1"
432,"CLEC4H1"
432,"HL-1"
433,"ASGP-R2"
433,"ASGPR2"
433,"CLEC4H2"
433,"HBXBP"
433,"HL-2"
434,"AGSW"
434,"AGTI"
434,"AGTIL"
434,"ASP"
434,"SHEP9"
435,"ASAL"
438,"ASMTY"
438,"HIOMT"
438,"HIOMTY"
439,"ARSA-I"
439,"ARSA1"
439,"ASNA-I"
439,"ASNA1"
439,"CMD2H"
439,"TRC40"
440,"ASNSD"
440,"TS11"
443,"ACY2"
443,"ASP"
444,"AAH"
444,"BAH"
444,"CASQ2BP1"
444,"FDLAB"
444,"HAAH"
444,"JCTN"
444,"junctin"
445,"ASS"
445,"CTLN1"
460,"ASTN"
462,"AT3"
462,"AT3D"
462,"ATIII"
462,"ATIII-R2"
462,"ATIII-T1"
462,"ATIII-T2"
462,"THPH7"
463,"ATBF1"
463,"ATBT"
463,"ATFB8"
463,"C16orf47"
463,"SCA4"
463,"ZFH-3"
463,"ZNF927"
466,"EWS-ATF1"
466,"FUS/ATF-1"
466,"TREB36"
467,"ATF3"
468,"CREB-2"
468,"CREB2"
468,"TAXREB67"
468,"TXREB"
471,"AICAR"
471,"AICARFT"
471,"HEL-S-70p"
471,"IMPCHASE"
471,"PURH"
472,"AT1"
472,"ATA"
