Skin_Tier_III	SDC3
Skin_Tier_III	MFI2
Skin_Tier_I	SLC45A2
Skin_Tier_II	BACE2
Skin_Tier_I	TSPAN10
Stomach_Tier_II	GPRC5A
Stomach_Tier_III	DSG2
Stomach_Tier_I	CEACAM5
Stomach_Tier_II	GRIN2D
Stomach_Tier_II	LSR
Stomach_Tier_II	EPCAM
Stomach_Tier_II	TSPAN8
Stomach_Tier_II	MAL2
Stomach_Tier_II	MUC13
Stomach_Tier_II	CLDN4
Thyroid_Tier_II	ITGA3
Thyroid_Tier_II	TNFRSF12A
Thyroid_Tier_II	CDH1
Thyroid_Tier_II	APLP2
Thyroid_Tier_II	MET
Thyroid_Tier_I	CLDN16
Thyroid_Tier_II	EPCAM
Thyroid_Tier_III	SLC17A5
Thyroid_Tier_II	SDC4
Thyroid_Tier_II	KCNJ16
Thyroid_Tier_I	SLC34A2
Thyroid_Tier_I	DCSTAMP
Thyroid_Tier_II	CLDN3
Thyroid_Tier_I	TSHR
Thyroid_Tier_II	MUC15
Thyroid_Tier_III	TMEM30B
Thyroid_Tier_III	CADM1
Thyroid_Tier_II	CLDN4
Thyroid_Tier_II	PTCHD4
Thymus_Tier_III	CDH3
Thymus_Tier_I	CHRNA3
Thymus_Tier_III	PLEK2
Thymus_Tier_I	KREMEN2
Thymus_Tier_III	SLCO5A1
Thymus_Tier_I	CD1A
Thymus_Tier_I	CD1B
Thymus_Tier_I	CD1E
Thymus_Tier_III	LY6K
Thymus_Tier_III	SLC7A3
Thymus_Tier_I	CD3D
Thymus_Tier_I	ADA
Thymus_Tier_I	OR10R2
Thymus_Tier_II	TDGF1
Uterine_Tier_III	TMEM132A
Uterine_Tier_II	EPCAM
Uterine_Tier_II	VTCN1
Uterine_Tier_I	ALPPL2
Uterine_Tier_II	CLDN3
Uterine_Tier_II	SPINT2
Uterine_Tier_II	CLDN6
Uterine_Tier_III	CLDN4
Uterine_Tier_III	PTK7
Uterine_Tier_III	STRA6
Uterine_Tier_III	RAC3
Uterine_Tier_III	FZD2
Uterine_Tier_I	CLDN6
Eye_Tier_I	ABCB5
Eye_Tier_II	CD44
Eye_Tier_II	LZTS1
Eye_Tier_III	GPR137B
Eye_Tier_I	SLC7A8
Eye_Tier_I	SLC7A4
Eye_Tier_I	GPR143
Eye_Tier_I	SLC7A5
Eye_Tier_II	MET
Eye_Tier_I	CA14
Eye_Tier_I	ABCC11
Eye_Tier_I	TRPM1
Eye_Tier_I	CD63
Eye_Tier_II	GPNMB
Eye_Tier_I	MYO10
Eye_Tier_I	SLC45A2
Eye_Tier_II	SLC3A2
Eye_Tier_III	LRRN4CL
Eye_Tier_I	TSPAN10
Eye_Tier_II	SLC6A17
Eye_Tier_I	TMEM200C
Eye_Tier_II	ELFN1
Eye_Tier_III	C1orf233
Testis_Tier_II	GJA10
Testis_Tier_III	PDPN
Testis_Tier_I	ALPPL2
Testis_Tier_I	SLC7A3
Testis_Tier_III	NETO2
Testis_Tier_I	CLDN6
Testis_Tier_I	KLRG2
