PMID35121907_TableS36_DrugDevelopment_Discovery_Precedence	gene
DrugDevelopmentLevel_Discovery_Precedence	PRLHR
DrugDevelopmentLevel_Discovery_Precedence	INSRR
DrugDevelopmentLevel_Discovery_Precedence	NAALAD2
DrugDevelopmentLevel_Discovery_Precedence	SLC46A1
DrugDevelopmentLevel_Discovery_Precedence	TMPRSS11D
DrugDevelopmentLevel_Discovery_Precedence	OXER1
DrugDevelopmentLevel_Discovery_Precedence	GRM8
DrugDevelopmentLevel_Discovery_Precedence	GPR183
DrugDevelopmentLevel_Discovery_Precedence	NPBWR1
DrugDevelopmentLevel_Discovery_Precedence	CCR8
DrugDevelopmentLevel_Discovery_Precedence	PLA2G2F
DrugDevelopmentLevel_Discovery_Precedence	PKN2
DrugDevelopmentLevel_Discovery_Precedence	SLC47A2
DrugDevelopmentLevel_Discovery_Precedence	MUSK
DrugDevelopmentLevel_Discovery_Precedence	CAMK2B
DrugDevelopmentLevel_Discovery_Precedence	SLC10A1
DrugDevelopmentLevel_Discovery_Precedence	NPSR1
DrugDevelopmentLevel_Discovery_Precedence	CYSLTR2
DrugDevelopmentLevel_Discovery_Precedence	GPR88
DrugDevelopmentLevel_Discovery_Precedence	AGTR2
DrugDevelopmentLevel_Discovery_Precedence	PKN1
DrugDevelopmentLevel_Discovery_Precedence	SORT1
DrugDevelopmentLevel_Discovery_Precedence	C3AR1
DrugDevelopmentLevel_Discovery_Precedence	NTSR2
DrugDevelopmentLevel_Discovery_Precedence	AAK1
DrugDevelopmentLevel_Discovery_Precedence	GPR84
DrugDevelopmentLevel_Discovery_Precedence	LPAR6
DrugDevelopmentLevel_Discovery_Precedence	CCR3
DrugDevelopmentLevel_Discovery_Precedence	CAMK2D
DrugDevelopmentLevel_Discovery_Precedence	SLC5A4
DrugDevelopmentLevel_Discovery_Precedence	P2RY10
DrugDevelopmentLevel_Discovery_Precedence	GPR174
DrugDevelopmentLevel_Discovery_Precedence	P2RY11
DrugDevelopmentLevel_Discovery_Precedence	DAGLA
DrugDevelopmentLevel_Discovery_Precedence	ACVR1B
DrugDevelopmentLevel_Discovery_Precedence	SLC28A2
DrugDevelopmentLevel_Discovery_Precedence	TRPC3
DrugDevelopmentLevel_Discovery_Precedence	PROKR1
DrugDevelopmentLevel_Discovery_Precedence	SLC27A1
DrugDevelopmentLevel_Discovery_Precedence	NPFFR2
DrugDevelopmentLevel_Discovery_Precedence	SLC11A2
DrugDevelopmentLevel_Discovery_Precedence	KCNJ1
DrugDevelopmentLevel_Discovery_Precedence	NPFFR1
DrugDevelopmentLevel_Discovery_Precedence	LPAR4
DrugDevelopmentLevel_Discovery_Precedence	MC3R
DrugDevelopmentLevel_Discovery_Precedence	SLC6A7
DrugDevelopmentLevel_Discovery_Precedence	MC5R
DrugDevelopmentLevel_Discovery_Precedence	GPR55
DrugDevelopmentLevel_Discovery_Precedence	NPY2R
DrugDevelopmentLevel_Discovery_Precedence	SLC5A7
DrugDevelopmentLevel_Discovery_Precedence	GPR139
DrugDevelopmentLevel_Discovery_Precedence	GABRR1
DrugDevelopmentLevel_Discovery_Precedence	SLC6A5
DrugDevelopmentLevel_Discovery_Precedence	GALR3
DrugDevelopmentLevel_Discovery_Precedence	NPY4R
DrugDevelopmentLevel_Discovery_Precedence	GLRA3
DrugDevelopmentLevel_Discovery_Precedence	TMPRSS15
DrugDevelopmentLevel_Discovery_Precedence	GLRA2
DrugDevelopmentLevel_Discovery_Precedence	GRM4
DrugDevelopmentLevel_Discovery_Precedence	BRS3
DrugDevelopmentLevel_Discovery_Precedence	GPR119
DrugDevelopmentLevel_Discovery_Precedence	GPR142
DrugDevelopmentLevel_Discovery_Precedence	MCHR2
DrugDevelopmentLevel_Discovery_Precedence	PRMT8
DrugDevelopmentLevel_Discovery_Precedence	MRGPRX1
DrugDevelopmentLevel_Discovery_Precedence	P2RY4
DrugDevelopmentLevel_Discovery_Precedence	CHRNB3
DrugDevelopmentLevel_Discovery_Precedence	NMUR2
DrugDevelopmentLevel_Discovery_Precedence	CDH1
DrugDevelopmentLevel_Discovery_Precedence	GNAS
DrugDevelopmentLevel_Discovery_Precedence	RAC1
DrugDevelopmentLevel_Discovery_Precedence	IRS1
DrugDevelopmentLevel_Discovery_Precedence	MUC1
DrugDevelopmentLevel_Discovery_Precedence	EPCAM
DrugDevelopmentLevel_Discovery_Precedence	THBS1
DrugDevelopmentLevel_Discovery_Precedence	CD46
DrugDevelopmentLevel_Discovery_Precedence	CD44
DrugDevelopmentLevel_Discovery_Precedence	CD1C
DrugDevelopmentLevel_Discovery_Precedence	CD1A
DrugDevelopmentLevel_Discovery_Precedence	CLTC
DrugDevelopmentLevel_Discovery_Precedence	PDPN
DrugDevelopmentLevel_Discovery_Precedence	SLC1A5
DrugDevelopmentLevel_Discovery_Precedence	CD40LG
DrugDevelopmentLevel_Discovery_Precedence	ABCB6
DrugDevelopmentLevel_Discovery_Precedence	CD36
DrugDevelopmentLevel_Discovery_Precedence	CD69
DrugDevelopmentLevel_Discovery_Precedence	PRLR
DrugDevelopmentLevel_Discovery_Precedence	RHOA
DrugDevelopmentLevel_Discovery_Precedence	ITLN1
DrugDevelopmentLevel_Discovery_Precedence	CDH3
DrugDevelopmentLevel_Discovery_Precedence	CEACAM5
DrugDevelopmentLevel_Discovery_Precedence	CDH6
