PMID35121907_TableS2_GESPGenes ,gene
SurfaceomeTransporter,SLC3A1
SurfaceomeIonChannel,CACNA1D
SurfaceomeMucin,MUC12
SurfaceomeEnzyme,SERPINA5
Surfaceome,UPK2
SurfaceomeIonChannel,KCNJ10
SurfaceomeEnzyme,PHEX
SurfaceomeTransporter,ABCB5
SurfaceomeIonChannel,KCNMB1
SurfaceomeEnzyme,ATP7B
Surfaceome,LRRN4
Surfaceome,MFSD4
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator,RELT
SurfaceomeEnzyme,PTPRT
SurfaceomeTetraspanin,UPK1A
SurfaceomeNK cell co-stimulator,ULBP1
SurfaceomeTransporter,SLC17A7
SurfaceomeKinase,LTK
SurfaceomeIgSF_CAM,GP6
SurfaceomeEnzyme,PTPRH
SurfaceomeTransporter,SLC7A7
SurfaceomeT cell co-stimulatorCTLDs V NK receptor,CLEC7A
SurfaceomeTransporter,SLC47A1
SurfaceomeTransporter,SLC5A8
Surfaceome,KIRREL3
SurfaceomeMucin,MUC15
Surfaceome,FAIM2
SurfaceomeTransporter,ABCA4
SurfaceomeIonChannel,SCN3B
SurfaceomeTetraspanin,TSPAN7
SurfaceomeTransporter,SLC22A18
SurfaceomeEnzyme,PTPRO
Surfaceome,IGSF9
Surfaceome,HLA-DOA
Surfaceome,SYT8
Surfaceome,CSMD3
Surfaceome,CSMD2
SurfaceomeEnzyme,TMPRSS9
SurfaceomeIonChannel,TRPM1
Surfaceome,TMEM27
SurfaceomeTransporter,SLC13A5
SurfaceomeEnzyme,RHBDL2
SurfaceomeKinase,INSRR
Surfaceome,GRAMD1B
SurfaceomeEnzyme,TMPRSS11E
SurfaceomeCadherin,CDHR1
SurfaceomeCTLDs II Type 2 receptor,CLEC4M
SurfaceomeIonChannel,KCNC4
Surfaceome,NETO1
Surfaceome,TREML1
SurfaceomeIonChannel,P2RX6
SurfaceomeKinase,EPHA8
SurfaceomeIonChannel,CACNA1I
Surfaceome,SUCO
SurfaceomeEnzyme,ADCY4
SurfaceomeTransporter,SLC6A12
SurfaceomeCTLDs II Type 2 receptor,ASGR2
SurfaceomeTransporter,SLC5A10
SurfaceomeIonChannel,KCNS3
SurfaceomeTransporter,SLC6A20
SurfaceomeEnzyme,NKAIN1
Surfaceome,PAQR8
Surfaceome,LY6G6C
SurfaceomeTransporter,SLC47A2
Surfaceome,NCMAP
SurfaceomeTumor necrosis factor receptor superfamily,EDAR
Surfaceome,MEGF11
SurfaceomeT cell co-inhibitor,LILRB5
SurfaceomeIonChannel,CACNG7
SurfaceomeNK cell co-stimulator,RAET1E
Surfaceome,PILRB
Surfaceome,TMEM26
Surfaceome,NRG4
Surfaceome,LRRTM3
Surfaceome,GJB7
SurfaceomeEnzyme,GDPD2
SurfaceomeTransporter,SLC5A12
Surfaceome,LRRTM2
SurfaceomeEnzyme,ART4
SurfaceomeEnzyme,SPPL3
Surfaceome,TM4SF20
SurfaceomeCadherin,CDH22
SurfaceomeTransporter,SLC5A4
Surfaceome,UMOD
SurfaceomeTransporter,SLC5A9
SurfaceomeIonChannel,CACNA1S
Surfaceome,CD300LB
SurfaceomeTransporter,SLC10A5
Surfaceome,LRRTM4
SurfaceomeIonChannel,KCND1
SurfaceomeTransporter,SLC28A2
Surfaceome,CD300LG
Surfaceome,FLVCR2
SurfaceomeTransporter,SLC46A3
SurfaceomeTransporter,SLC17A4
SurfaceomeIL-17 receptor family,IL17RC
Surfaceome,TMEM204
SurfaceomeFc Receptor,FCRL4
SurfaceomeTransporter,SLC16A6
SurfaceomeTransporter,ABCA9
SurfaceomeNK cell co-stimulator/co-inhibitorCTLDs V NK receptor,KLRD1
SurfaceomeKinaseTGF-beta receptor family,ACVR1C
SurfaceomeIonChannel,KCNMB3
SurfaceomeIgSF_CAM,LRFN3
SurfaceomeTransporter,SLC12A1
SurfaceomeIonChannel,CACNG1
SurfaceomeTransporter,SLC14A2
SurfaceomeTransporter,SLC5A2
SurfaceomeCTLDs V NK receptor,CLEC12B
SurfaceomeTransporter,SLC6A7
Surfaceome,USH2A
Surfaceome,PIGW
Surfaceome,ZP1
SurfaceomeIonChannel,KCNA10
SurfaceomeIonChannel,KCNA7
SurfaceomeIonChannel,CACNA1F
SurfaceomeNK cell co-stimulator/co-inhibitor,NCR2
SurfaceomeIonChannel,KCNG2
Surfaceome,ZP2
SurfaceomeIonChannelCTLDs X Polycystin family,PKD1L3
SurfaceomeIonChannel,TRPM5
Surfaceome,GYPB
SurfaceomeIonChannel,ASIC5
SurfaceomeIntegrin,ITGAD
SurfaceomeCadherin,PCDHA7
Surfaceome,IZUMO3
Surfaceome,CLDN24
SurfaceomeCadherin,PCDHA8
Surfaceome,TMIGD1
SurfaceomeCadherin,PCDHA5
SurfaceomeEnzyme,ASAH2
Surfaceome,KREMEN1
SurfaceomeTransporter,SLC34A3
SurfaceomeTransporter,SLC22A13
SurfaceomeIonChannel,CHRNA10
SurfaceomeTransporter,SLC36A2
SurfaceomeEnzyme,TMPRSS11B
SurfaceomeCadherin,PCDHA9
Surfaceome,TARM1
SurfaceomeGPCR,OR10A2
SurfaceomeTransporter,SLC6A18
SurfaceomeCadherin,DCHS2
SurfaceomeEnzyme,TMPRSS7
SurfaceomeTransporter,ATP1B4
SurfaceomeEnzyme,SPAM1
SurfaceomeGPCR,OR4D2
SurfaceomeGPCR,OR4A15
SurfaceomeCadherin,PCDHA13
Surfaceome,GAP43
SurfaceomeEnzyme,CTSG
Surfaceome,NF2
Surfaceome,FGF10
SurfaceomeEnzyme,RHOJ
Surfaceome,NPDC1
Surfaceome,PRND
Surfaceome,CDC42SE1
SurfaceomeEnzyme,AOC1
SurfaceomeEnzyme,RAB23
SurfaceomeEnzyme,B3GNT3
SurfaceomeIonChannel,ASIC3
Surfaceome,FAM126A
Surfaceome,HMCN1
SurfaceomeT cell co-inhibitor,CD160
SurfaceomeEnzyme,ADD2
Surfaceome,CEACAM7
Surfaceome,LYPD5
SurfaceomeEnzyme,ADD3
Surfaceome,LILRA2
SurfaceomeEnzyme,AKAP11
SurfaceomeEnzyme,SKAP1
SurfaceomeFc Receptor,FCGR2C
Surfaceome,CD177
Surfaceome,EFNA2
SurfaceomeIgSF_CAM,CNTN4
Surfaceome,GLDN
SurfaceomeIgSF_CAM,CNTN6
SurfaceomeGPCR,OR2I1P
SurfaceomeGPCR,OR10J6P
Surfaceome,PLET1
SurfaceomeGPCR,AC005255.6
SurfaceomeGPCR,OR5AR1
SurfaceomeGPCR,OR10AC1
SurfaceomeGPCR,TAAR3
SurfaceomeGPCR,OR5AK3P
SurfaceomeGPCR,OR10D4P
SurfaceomeGPCR,OR1E3
SurfaceomeGPCR,OR14L1P
SurfaceomeGPCR,OR2J1
SurfaceomeGPCR,OR1F12
SurfaceomeGPCR,OR4E1
SurfaceomeGPCR,OR8D2
Surfaceome,OR52R1
SurfaceomeGPCR,OR2T11
Surfaceome,OR5L1
SurfaceomeGPCR,OR51F1
SurfaceomeGPCR,OR56B2P
SurfaceomeGPCR,OR4Q2
SurfaceomeGPCR,OR5G3
SurfaceomeGPCR,OR4A4P
SurfaceomeGPCR,GPR32P1
SurfaceomeGPCR,OR5AL1
SurfaceomeGPCR,OR52E1
Surfaceome,MAPT
SurfaceomeEnzyme,ARL4C
Surfaceome,ANXA13
Surfaceome,AMER1
Surfaceome,NKTR
Surfaceome,SCUBE3
SurfaceomeIonChannel,CLCA1
Surfaceome,STAMBP
Surfaceome,TRGC2
Surfaceome,CTC-360G5.9
Surfaceome,CTD-2270P14.1
Surfaceome,IGHV4-34
SurfaceomeGPCR,OR1F2P
Surfaceome,ESYT2
SurfaceomeEnzyme,ZDHHC20
Surfaceome,MYADM
SurfaceomeEnzyme,RAB5C
Surfaceome,STOM
Surfaceome,CD99L2
Surfaceome,EEF1A1
SurfaceomeEnzyme,RHOC
SurfaceomeEnzyme,IQGAP1
Surfaceome,EZR
Surfaceome,TMED10
SurfaceomeTransporter,ATP13A1
Surfaceome,TM9SF2
Surfaceome,TLN1
Surfaceome,RPSA
Surfaceome,MSN
Surfaceome,CTNNA1
Surfaceome,EHD1
Surfaceome,MACF1
SurfaceomeEnzyme,RAB11A
SurfaceomeKinase,CAMK2D
Surfaceome,NOMO3
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF10A
SurfaceomeKinase,PRKCA
SurfaceomeIonChannel,ITPR1
SurfaceomeEnzyme,SPINT1
Surfaceome,CLPTM1L
SurfaceomeEnzyme,STEAP3
SurfaceomeTransporter,ATP11C
SurfaceomeTransporter,ATP13A3
Surfaceome,TMED4
Surfaceome,JUP
SurfaceomeEnzyme,RHOA
Surfaceome,S100A6
Surfaceome,C1QBP
Surfaceome,KRT1
Surfaceome,EPB41L2
Surfaceome,BASP1
Surfaceome,NRXN3
SurfaceomeIonChannel,KCNN4
SurfaceomeT cell co-inhibitor,CYBA
Surfaceome,ADIPOR1
Surfaceome,SYMPK
SurfaceomeTransporter,ATP8A1
Surfaceome,GLIPR1
SurfaceomeEnzyme,CDIPT
SurfaceomeIonChannel,KCNK1
Surfaceome,EFR3A
SurfaceomeTransporter,SLC9A9
Surfaceome,SERINC3
Surfaceome,UNC93B1
Surfaceome,YIPF3
SurfaceomeEnzyme,IMPAD1
Surfaceome,LRRC8D
Surfaceome,EHD2
SurfaceomeKinase,PI4KA
Surfaceome,EPB41L3
Surfaceome,HLA-DMA
SurfaceomeEnzyme,PTRF
SurfaceomeEnzyme,RAB3B
Surfaceome,RP2
Surfaceome,ERBB2IP
SurfaceomeEnzyme,RAB8A
Surfaceome,XPR1
SurfaceomeTumor necrosis factor receptor superfamilyB cell co-stimulator,TNFRSF13C
SurfaceomeEnzyme,CANT1
SurfaceomeIonChannel,CACNA1B
Surfaceome,ANKH
Surfaceome,MCTP2
Surfaceome,FLOT1
Surfaceome,GRAMD1A
SurfaceomeGPCR,GPR107
Surfaceome,AQP10
SurfaceomeEnzyme,RHOB
SurfaceomeEnzyme,OGT
Surfaceome,VASP
Surfaceome,S100A9
SurfaceomeEnzyme,ARF1
SurfaceomeGPCR,FPR1
Surfaceome,UTRN
SurfaceomeKinase,MARK2
SurfaceomeTransporter,ABCC9
SurfaceomeTransporter,SLC9A3R1
Surfaceome,PKP2
SurfaceomeGPCR,MC4R
SurfaceomeTransporter,SLC9A3R2
SurfaceomeEnzyme,PACSIN2
Surfaceome,IGHG1
Surfaceome,PAG1
SurfaceomeKinase,PAK1
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF19
SurfaceomeTransporter,SLC22A3
SurfaceomeTNFT cell co-stimulator,LTB
Surfaceome,DYNC2H1
SurfaceomeTransporter,SLC4A11
Surfaceome,LINGO2
Surfaceome,TJP2
SurfaceomeEnzyme,MGAT5B
Surfaceome,C19orf26
SurfaceomeKinase,POMK
SurfaceomeTransporter,SLC2A10
SurfaceomeTetraspanin,UPK1B
SurfaceomeTransporter,SLC38A7
SurfaceomeTNFT cell co-stimulator,TNFSF8
SurfaceomeIonChannel,CLCN5
SurfaceomeIonChannel,KCNQ5
SurfaceomeEnzyme,CHST3
SurfaceomeTetraspanin,TSPAN17
Surfaceome,TMEM97
Surfaceome,LRIG3
Surfaceome,LYPD6B
SurfaceomeT cell co-inhibitor,BTN2A2
SurfaceomeIgSF_CAM,LRFN2
SurfaceomeIonChannel,TRPC4
SurfaceomeTransporter,ATP10D
SurfaceomeTransporter,SLC7A10
SurfaceomeTransporter,SLC26A11
SurfaceomeTransporter,SLC43A2
SurfaceomeKinase,ETNK1
SurfaceomeIonChannel,PKD1L1
Surfaceome,EFCAB14
SurfaceomeIonChannel,KCNE2
SurfaceomeIonChannel,KCNU1
SurfaceomeTransporter,SLC2A7
Surfaceome,FADD
SurfaceomeEnzyme,TPO
SurfaceomeEnzyme,PRSS21
Surfaceome,MFSD12
SurfaceomeGPCR,ADORA3
Surfaceome,EXOC1
SurfaceomeKinase,CAMK2A
SurfaceomeEnzyme,HSD17B7
Surfaceome,TMEM184A
SurfaceomeEnzyme,MTM1
Surfaceome,ITSN1
SurfaceomeGPCR,RGR
SurfaceomeGPCR,PTGDR
Surfaceome,CIB1
SurfaceomeGPCR,GPR34
SurfaceomeTransporter,SLC13A2
SurfaceomeGPCR,GPR162
SurfaceomeEnzyme,PSENEN
SurfaceomeGPCR,ADGRF4
SurfaceomeEnzyme,EPS8L2
Surfaceome,SNX9
Surfaceome,VNN3
Surfaceome,ARAP1
Surfaceome,DPCR1
SurfaceomeEnzyme,PACSIN3
SurfaceomeGPCR,GPR22
Surfaceome,IGHA1
SurfaceomeGPCR,OR1D2
SurfaceomeGPCR,GPR31
SurfaceomeGPCR,OPN5
Surfaceome,CD200R1L
SurfaceomeGPCR,OR11H2
SurfaceomeGPCR,GPR42
Surfaceome,SPACA1
SurfaceomeGPCR,OR5AN1
SurfaceomeGPCR,OR2S2
Surfaceome,CD3E
SurfaceomeTNF,TNF
Surfaceome,STX1A
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator,TNFRSF4
SurfaceomeTransporter,ABCG1
SurfaceomeTNF,EDA
SurfaceomeIonChannel,KCNQ1
Surfaceome,PMP22
Surfaceome,DCC
SurfaceomeTransporter,SLC22A2
SurfaceomeIonChannel,KCNQ2
SurfaceomeTransporter,SLC5A5
Surfaceome,FNDC4
SurfaceomeIonChannel,CACNA1G
SurfaceomeTransporter,SLC10A4
SurfaceomeTransporter,SLC2A2
Surfaceome,AQP9
SurfaceomeIgSF_CAM,LRRC4
SurfaceomeTransporter,SLC39A1
Surfaceome,GP2
SurfaceomeTNFT cell co-stimulator,TNFSF15
SurfaceomeKinase,CDK16
Surfaceome,PRRT2
Surfaceome,HEPHL1
SurfaceomeTransporter,ATP8B3
SurfaceomeTransporter,SLC18A1
Surfaceome,ADAP1
SurfaceomeIonChannel,KCNQ4
SurfaceomeIonChannel,KCNQ3
Surfaceome,PTCH2
SurfaceomeEnzyme,ADAM11
SurfaceomeIonChannel,KCNB1
Surfaceome,RHBG
SurfaceomeTransporter,SLC6A17
SurfaceomeIonChannel,KCNJ2
Surfaceome,IGSF6
SurfaceomeIonChannel,KCNJ14
SurfaceomeEnzyme,TPSG1
Surfaceome,NRROS
Surfaceome,SIRPB2
SurfaceomeIgSF_CAM,LRRC4C
SurfaceomeEnzyme,MMP24
SurfaceomeIgSF_CAMNK cell co-stimulator,CRTAM
SurfaceomeEnzyme,ECEL1
SurfaceomeIgSF_CAM,VSIG2
Surfaceome,GSG1L
SurfaceomeIonChannel,SCN1A
Surfaceome,UPK3A
SurfaceomeTransporter,SLC24A3
Surfaceome,EPGN
Surfaceome,CNTNAP4
SurfaceomeIL-10 receptor family,IL20RB
SurfaceomeIonChannel,LRRC55
Surfaceome,LY6H
SurfaceomeEnzyme,RNF128
Surfaceome,SLITRK1
Surfaceome,MEP1A
SurfaceomeTransporter,SLC9A2
SurfaceomeTransporter,SLC1A6
SurfaceomeTransporter,SLC16A9
SurfaceomeTransporter,SLC5A11
Surfaceome,IGSF9B
Surfaceome,SMAGP
Surfaceome,MDGA2
Surfaceome,ITPRIP
Surfaceome,BTNL3
Surfaceome,C1orf210
Surfaceome,MMD
Surfaceome,SHISA6
SurfaceomeTransporter,SLC8A2
SurfaceomeIonChannel,KCNK12
SurfaceomeIonChannel,FAM26E
SurfaceomeT cell co-inhibitor,BTNL9
SurfaceomeTransporter,SLC10A1
Surfaceome,TULP3
SurfaceomeTransporter,SLC31A2
Surfaceome,AQP8
SurfaceomeIonChannel,TMEM63C
SurfaceomeCTLDs VIII Type 1 receptor,CHODL
Surfaceome,CECR6
SurfaceomeIL-17 receptor family,IL17RE
Surfaceome,PRRT4
SurfaceomeTetraspanin,TSPAN11
Surfaceome,LHFPL4
Surfaceome,SCAMP5
SurfaceomeTransporter,SLC46A2
SurfaceomeTransporter,SLC9B2
SurfaceomeEnzyme,ZDHHC11
Surfaceome,NFAM1
SurfaceomeEnzyme,LPPR4
Surfaceome,MRAP2
Surfaceome,SHISA7
SurfaceomeTransporter,SLC6A16
SurfaceomeTransporter,SLC35G2
Surfaceome,CALN1
SurfaceomeKinaseTGF-beta receptor family,AMHR2
SurfaceomeCTLDs II Type 2 receptor,CLEC4G
Surfaceome,SYNPR
SurfaceomeEnzyme,ZDHHC4
Surfaceome,C14orf37
SurfaceomeEnzyme,ZDHHC11B
Surfaceome,ERVW-1
Surfaceome,ISLR2
SurfaceomeEnzyme,POMT2
Surfaceome,CEACAM4
Surfaceome,ERVFRD-1
Surfaceome,PAQR9
SurfaceomeIL-10 receptor family,IL20RA
Surfaceome,ANO4
SurfaceomeEnzyme,ART3
Surfaceome,VSTM5
SurfaceomeIonChannel,KCNJ1
Surfaceome,THSD7B
SurfaceomeTransporter,SLC22A9
SurfaceomeCadherin,CDHR4
SurfaceomeIonChannel,KCNH3
Surfaceome,STOML3
Surfaceome,TECTA
SurfaceomeIonChannel,KCNJ6
SurfaceomeEnzyme,ADAM2
SurfaceomeTransporter,SLC1A7
SurfaceomeEnzyme,ZNRF3
Surfaceome,EQTN
Surfaceome,CEACAM20
Surfaceome,SV2C
SurfaceomeEnzyme,NKAIN3
SurfaceomeTransporter,SLC32A1
Surfaceome,XKR3
SurfaceomeIgSF_CAM,CNTN5
SurfaceomeTransporter,SLC13A4
Surfaceome,LHFPL5
Surfaceome,CATSPERD
SurfaceomeIonChannel,CACNG5
SurfaceomeTransporter,SLC17A6
SurfaceomeEnzyme,ADAM29
SurfaceomeIgSF_CAM,IZUMO1
SurfaceomeTransporter,SLC22A14
Surfaceome,OTOP2
Surfaceome,ANO3
SurfaceomeKinase,EPHA6
Surfaceome,TRDN
SurfaceomeTransporter,SLC17A8
SurfaceomeIonChannel,TMC2
Surfaceome,RP11-477N12.3
Surfaceome,OTOP3
SurfaceomeTetraspanin,TSPAN19
SurfaceomeIonChannel,FAM26D
Surfaceome,SCART1
SurfaceomeKinase,SPHK1
SurfaceomeKinaseNK cell co-stimulator,SYK
SurfaceomeEnzyme,LPL
Surfaceome,PARD3
SurfaceomeEnzyme,RAB25
SurfaceomeKinase,PIK3CG
Surfaceome,LYPD1
Surfaceome,ANOS1
Surfaceome,RASGRP1
Surfaceome,LSP1
Surfaceome,APBB1
Surfaceome,CNNM1
Surfaceome,PALM
Surfaceome,CGN
Surfaceome,LY96
Surfaceome,ROBO3
SurfaceomeKinase,PIP5K1A
Surfaceome,NCS1
Surfaceome,FCHSD2
Surfaceome,EHD3
Surfaceome,TTC7B
SurfaceomeIonChannel,ASIC4
Surfaceome,CYTH2
Surfaceome,BTN2A3P
Surfaceome,IGHG2
SurfaceomeEnzyme,ART1
Surfaceome,WDR13
SurfaceomeEnzyme,LVRN
Surfaceome,TECTB
Surfaceome,TEX101
Surfaceome,GAB2
SurfaceomeKinase,GRK5
SurfaceomeEnzyme,NOS1
Surfaceome,RIMS2
Surfaceome,CPAMD8
SurfaceomeIgSF_CAM,IGSF5
Surfaceome,LYPD8
SurfaceomeEnzyme,LIPH
SurfaceomeEnzyme,RASA4B
SurfaceomeGPCR,OR2W6P
SurfaceomeGPCR,OR4X2
SurfaceomeGPCR,OR3A4P
SurfaceomeGPCR,OR8G2P
SurfaceomeGPCR,OR2F1
SurfaceomeGPCR,OR1D4
SurfaceomeGPCR,OR4C45
SurfaceomeGPCR,OR1P1
Surfaceome,OR10X1
Surfaceome,OR4C16
SurfaceomeGPCR,OR5R1
SurfaceomeGPCR,OR1B1
Surfaceome,OR1S1
SurfaceomeGPCR,OR4K3
SurfaceomeGPCR,VN1R3
SurfaceomeGPCR,OR2B8P
SurfaceomeGPCR,OR5AC1
SurfaceomeGPCR,OR4A8
SurfaceomeGPCR,OR9A1P
SurfaceomeGPCR,OR10J4
Surfaceome,OR2L8
Surfaceome,OR5D13
Surfaceome,ITLN1
Surfaceome,CFLAR
SurfaceomeEnzyme,GZMA
Surfaceome,KANK1
SurfaceomeKinase,TEC
SurfaceomeEnzyme,DUSP15
SurfaceomeEnzyme,PTPN4
SurfaceomeKinase,FGR
SurfaceomeEnzyme,PDE4A
Surfaceome,DLG2
Surfaceome,AMOT
Surfaceome,TJP3
SurfaceomeEnzyme,PPP1R16B
Surfaceome,OSCP1
Surfaceome,PARD6A
SurfaceomeEnzyme,XPNPEP2
Surfaceome,SPRN
SurfaceomeEnzyme,ENPP7
Surfaceome,PARD6G
SurfaceomeEnzyme,RND1
Surfaceome,GIF
Surfaceome,RAPSN
Surfaceome,GML
Surfaceome,TRBV12-3
Surfaceome,LYPD2
Surfaceome,CFC1
SurfaceomeEnzyme,TCAF2
Surfaceome,TCHP
SurfaceomeEnzyme,CPO
Surfaceome,IGKV1D-39
Surfaceome,TRAV19
Surfaceome,LYPD4
Surfaceome,IGKV5-2
Surfaceome,IGLV1-51
Surfaceome,IGHG4
Surfaceome,OTOG
SurfaceomeEnzyme,PRSS41
Surfaceome,BTNL10
Surfaceome,TMEM30C
Surfaceome,TM9SF4
Surfaceome,CD99
Surfaceome,GNB1
Surfaceome,PGRMC2
Surfaceome,CALR
SurfaceomeEnzyme,STT3A
Surfaceome,BCAP31
Surfaceome,VAPA
Surfaceome,GLG1
Surfaceome,ESYT1
SurfaceomeEnzyme,RAC1
Surfaceome,CLTC
Surfaceome,KIAA1524
Surfaceome,CKAP4
Surfaceome,GNAI3
SurfaceomeEnzyme,CDC42
Surfaceome,VAMP8
SurfaceomeEnzyme,LMF2
Surfaceome,B2M
SurfaceomeEnzyme,P4HB
Surfaceome,MAP4
Surfaceome,DNM2
Surfaceome,NUP210
Surfaceome,AHNAK
Surfaceome,DIAPH1
Surfaceome,CAV1
SurfaceomeEnzyme,B4GALT1
SurfaceomeEnzyme,IKBIP
Surfaceome,MFSD1
Surfaceome,VAMP7
SurfaceomeIonChannel,HCN1
Surfaceome,TMED1
Surfaceome,LCP1
SurfaceomeEnzyme,ARF6
SurfaceomeIonChannel,CLIC4
Surfaceome,CAPNS1
Surfaceome,GNAI1
SurfaceomeEnzyme,RAB35
SurfaceomeKinase,PI4K2A
Surfaceome,HLA-DQB1
SurfaceomeKinase,CAMK2G
Surfaceome,EPB41
Surfaceome,IFITM2
SurfaceomeTransporter,ATP11A
Surfaceome,GPR180
Surfaceome,STX6
Surfaceome,SCAMP4
SurfaceomeEnzyme,HS2ST1
Surfaceome,TAPBPL
SurfaceomeEnzyme,RAC3
Surfaceome,SDCBP
Surfaceome,AP2S1
Surfaceome,PICALM
Surfaceome,MYO6
Surfaceome,NOMO1
Surfaceome,APBB1IP
Surfaceome,TRIP6
SurfaceomeIonChannel,TPCN1
Surfaceome,CCNY
SurfaceomeTransporter,SLC7A11
Surfaceome,CAV2
SurfaceomeTransporter,ATP8B1
SurfaceomeEnzyme,NEDD4
Surfaceome,PDLIM5
SurfaceomeTransporter,ABCG8
Surfaceome,SYNE2
Surfaceome,NRXN2
Surfaceome,JPH2
SurfaceomeTransporter,ATP12A
SurfaceomeEnzyme,GGCX
Surfaceome,CNST
SurfaceomeTransporter,SLC44A3
Surfaceome,TMEM132C
Surfaceome,EVA1A
Surfaceome,TMEM156
SurfaceomeIonChannel,MCOLN3
Surfaceome,C1orf27
Surfaceome,LHFPL2
Surfaceome,MMGT1
Surfaceome,STX3
SurfaceomeEnzyme,PIGB
Surfaceome,TM2D1
Surfaceome,SCAMP1
SurfaceomeEnzyme,MGST2
SurfaceomeEnzyme,TMEM256-PLSCR3
SurfaceomeKinase,ILK
SurfaceomeEnzyme,RALA
SurfaceomeEnzyme,CAP2
Surfaceome,LPP
SurfaceomeEnzyme,PNPLA2
Surfaceome,NCKAP1
Surfaceome,AHNAK2
Surfaceome,LANCL2
Surfaceome,SMAP1
Surfaceome,UBE2D3
Surfaceome,HOMER3
SurfaceomeGPCR,TAS2R39
Surfaceome,DLL3
SurfaceomeEnzyme,HSD11B1
SurfaceomeIonChannel,RYR1
SurfaceomeEnzyme,CA4
Surfaceome,ASTN2
Surfaceome,TMEM127
Surfaceome,TUSC3
Surfaceome,STX2
SurfaceomeEnzyme,WWP1
SurfaceomeEnzyme,UST
SurfaceomeKinase,MARK3
Surfaceome,SPG11
SurfaceomeEnzyme,PTPRE
Surfaceome,SYT4
SurfaceomeIgSF_CAM,LRFN4
SurfaceomeIonChannel,RYR3
Surfaceome,LRRN4CL
Surfaceome,PCNXL3
SurfaceomeFc Receptor,FCMR
SurfaceomeEnzyme,NAALAD2
SurfaceomeEnzyme,RASA3
Surfaceome,ABI1
SurfaceomeTransporter,ATP8B2
SurfaceomeTransporter,SLC7A14
Surfaceome,TMEM106A
SurfaceomeIgSF_CAM,ROBO2
Surfaceome,DLK2
SurfaceomeKinase,PKN2
Surfaceome,SUSD6
Surfaceome,LMBR1
SurfaceomeEnzyme,SRD5A3
Surfaceome,INADL
SurfaceomeTransporter,ATP13A2
SurfaceomeFc ReceptorNK cell co-stimulator,FCER1G
SurfaceomeTransporter,SLC18B1
SurfaceomeKinase,PKN1
SurfaceomeKinase,AAK1
SurfaceomeIonChannel,KCNH8
SurfaceomeTransporter,SLC29A3
SurfaceomeTransporter,SLC12A4
SurfaceomeIonChannel,CALHM2
Surfaceome,SEL1L3
Surfaceome,CHIC2
SurfaceomeEnzyme,DPY19L4
SurfaceomeImmunoglobulin-like family of IL-1 receptors,SIGIRR
Surfaceome,TMEM184B
Surfaceome,MFSD6
SurfaceomeEnzyme,POMT1
SurfaceomeGPCR,TPRA1
Surfaceome,TCTN3
SurfaceomeTransporter,SLC30A5
Surfaceome,TMEM184C
Surfaceome,XKR8
Surfaceome,MS4A6A
SurfaceomeTransporter,SLC39A9
SurfaceomeIonChannel,HCN4
SurfaceomeEnzyme,PTPRCAP
SurfaceomeIonChannel,PKDREJ
Surfaceome,C11orf87
Surfaceome,SYT15
Surfaceome,ICOSLG
SurfaceomeKinase,PTK2
Surfaceome,TSG101
Surfaceome,DMD
SurfaceomeT cell co-stimulator/co-inhibitor,HAVCR1
Surfaceome,GNAQ
SurfaceomeKinase,CDK5
SurfaceomeEnzyme,USP8
SurfaceomeCTLDs II Type 2 receptor,CD209
Surfaceome,SDPR
Surfaceome,VPS28
Surfaceome,DAB2IP
Surfaceome,SPNS3
Surfaceome,PREX1
SurfaceomeEnzyme,ALOX15B
Surfaceome,NETO2
Surfaceome,MPP7
SurfaceomeGPCR,GPR135
Surfaceome,EVA1C
SurfaceomeKinase,PIK3C2A
SurfaceomeEnzyme,PLSCR4
Surfaceome,DNAJC9
Surfaceome,SNAP29
SurfaceomeGPCR,ADGRA1
Surfaceome,CSMD1
Surfaceome,SERINC2
Surfaceome,COL13A1
Surfaceome,MPP1
Surfaceome,CEACAM21
Surfaceome,MYO1G
SurfaceomeKinase,CAMK2B
SurfaceomeEnzyme,PRKCDBP
Surfaceome,EXOC7
Surfaceome,LIN7C
Surfaceome,CDC42SE2
SurfaceomeEnzyme,GALNT10
Surfaceome,CDC42EP1
SurfaceomeGPCR,TAS2R19
SurfaceomeEnzyme,B4GALT5
SurfaceomeNK cell co-inhibitorCTLDs V NK receptor,KLRC3
SurfaceomeEnzyme,PLCD3
SurfaceomeGPCR,TAS2R31
SurfaceomeGPCR,TAS2R38
SurfaceomeGPCR,TAS2R30
Surfaceome,PPP1R9B
SurfaceomeGPCR,ADGRF3
Surfaceome,ANKRD13A
Surfaceome,GJA9
Surfaceome,GFY
SurfaceomeGPCR,OR2T5
Surfaceome,LRTM2
SurfaceomeNK cell co-inhibitor,KIR3DL3
Surfaceome,MFRP
SurfaceomeGPCR,TAS2R1
SurfaceomeGPCR,OR5V1
SurfaceomeGPCR,OR2J2
SurfaceomeGPCR,ADGRF2
SurfaceomeGPCR,TAS2R3
SurfaceomeGPCR,TAS2R8
SurfaceomeGPCR,TAS2R50
Surfaceome,LRTM1
