PMID35121907_TableS2_GESPGenes ,gene
Surfaceome,GJA1
SurfaceomeIL-2 receptor family,IL4R
Surfaceome,PTCH1
SurfaceomeKinase,ROR1
Surfaceome,GYPC
Surfaceome,AQP5
SurfaceomeTetraspanin,TSPAN8
SurfaceomeFc ReceptorB cell co-inhibitor,FCGR2B
SurfaceomeT cell co-inhibitor,LILRB1
Surfaceome,PLXNA2
SurfaceomeIgSF_CAM,ICAM3
SurfaceomeTransporter,SLC26A2
SurfaceomeFc Receptor,FCGRT
SurfaceomeInterferon receptor family,IFNGR1
SurfaceomeTetraspanin,CD37
SurfaceomeIgSF_CAMT cell co-inhibitor,SIGLEC7
Surfaceome,PODXL2
SurfaceomeIL-10 receptor family,IL10RB
Surfaceome,MILR1
SurfaceomeIgSF_CAM,NTM
SurfaceomeGPCR,CYSLTR1
SurfaceomeGPCR,PTGDR2
SurfaceomeGPCR,GRM1
SurfaceomeGPCR,P2RY10
SurfaceomeGPCR,P2RY11
SurfaceomeIonChannel,TMEM63B
SurfaceomeIonChannel,CFTR
SurfaceomeIgSF_CAMT cell co-stimulator,CD2
SurfaceomeMucin,MUC16
SurfaceomeKinaseTGF-beta receptor family,TGFBR1
SurfaceomeEnzyme,ENPP3
SurfaceomeLigand_CX3C,CX3CL1
SurfaceomeIgSF_CAMB cell co-inhibitor,CD22
Surfaceome,NPR3
SurfaceomeCTLDs XIV Endosialin family,THBD
Surfaceome,FLVCR1
SurfaceomeCadherin,DSC3
SurfaceomeIntegrinComplement receptor,ITGAX
SurfaceomeTransporter,SLC22A5
SurfaceomeKinaseTGF-beta receptor family,ACVR1
Surfaceome,GPNMB
SurfaceomeKinase,EPHA4
SurfaceomeTransporter,SLC8A1
Surfaceome,CRB2
SurfaceomeIntegrin,ITGA8
SurfaceomeTransporter,SLC19A2
Surfaceome,SIT1
SurfaceomeCadherin,PCDH9
SurfaceomeTetraspanin,TSPAN33
SurfaceomeIgSF_CAMNK cell co-inhibitor,CD96
Surfaceome,EFNA4
SurfaceomeT cell co-stimulator,CD226
SurfaceomeIgSF_CAM,SIGLEC1
SurfaceomeIonChannel,GABRB3
Surfaceome,TENM4
Surfaceome,GP5
